SetPause False
StreamOut (NaN,NaN)
StreamOut (-0.3943066720315729,-0.3943066720315729)
StreamOut (0.7446636546814426,0.5048804280050183)
StreamOut (0.6147428094345913,0.5094640986671712)
StreamOut (4.251749590285894e-2,0.2280905156184425)
StreamOut (0.6136905605826163,0.4530117124393861)
StreamOut (0.7926193683956919,0.5624845725328264)
StreamOut (0.9881380412670082,0.6809652107237598)
StreamOut (0.8230043423503863,0.6771367287381643)
StreamOut (1.4908077345087294,0.9185528656432541)
StreamOut (2.4161700299507958,1.2902850883395294)
StreamOut (3.907437372357419,1.8888025366210697)
StreamOut (3.852573279905939,2.1548298519845717)
StreamOut (4.290593942746,2.4999131872695504)
StreamOut (4.546883860946877,2.7985560186303626)
StreamOut (4.315326001060178,2.9604011141401716)
StreamOut (4.112251681930101,3.0768592947162374)
StreamOut (3.726589123724291,3.108552072388978)
StreamOut (4.124211832827331,3.2748387549556597)
StreamOut (4.359324501683867,3.4274084040848636)
StreamOut (4.225914417653078,3.503123170486816)
SetDelay 0.2
StreamOut (3.8129976573615574,3.491552984465425)
StreamOut (3.7843044582339163,3.5208432316080955)
StreamOut (3.7071045268472247,3.5328099748855473)
StreamOut (2.7819683606866286,3.3506847244569005)
StreamOut (1.4461383783425816,3.001585323853467)
StreamOut (1.9799503030730037,2.9494334365095094)
StreamOut (1.7420380130884232,2.7959793507972504)
StreamOut (2.278640403900073,2.798012077035432)
StreamOut (1.7800700948778176,2.6388648068597482)
StreamOut (1.4608801637939637,2.4825196993042993)
StreamOut (0.8278209656535896,2.2446694327171195)
StreamOut (0.9661109720194424,2.1265880458001525)
StreamOut (1.0199534311031317,2.017951622063247)
StreamOut (0.6235546535151667,1.833748845290779)
StreamOut (0.8712402854984027,1.7604313003460126)
StreamOut (2.3720297586923285,1.9765386461259968)
StreamOut (2.9682817113541216,2.1386245299095443)
StreamOut (3.462518856258686,2.323817071200542)
StreamOut (4.878076944028441,2.7274274424276332)
StreamOut (5.391723373746125,3.049989429503482)
